Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
DONSON	ENSG00000159147.17	4.615	10.655	-1.054	6.79e-41
DOPEY1	ENSG00000083097.14	4.255	11.370	-1.235	2.63e-60
DOPEY2	ENSG00000142197.12	20.095	8.034	1.223	5.06e-36
DPH1	ENSG00000108963.17	31.680	65.380	-1.022	3.13e-32
DPH7	ENSG00000148399.11	22.160	53.779	-1.242	2.58e-31
DPP4	ENSG00000197635.9	73.239	30.409	1.241	2.68e-17
DPT	ENSG00000143196.4	4.205	29.170	-2.535	2.74e-61
DPY19L2	ENSG00000177990.11	3.905	16.704	-1.852	1.17e-31
DPYS	ENSG00000147647.12	0.900	4.340	-1.491	2.19e-12
DPYSL3	ENSG00000113657.12	36.515	88.303	-1.251	2.41e-42
DRAIC	ENSG00000245750.7	22.515	5.379	1.882	3.29e-64
DSC2	ENSG00000134755.14	18.755	5.205	1.671	3.48e-52
DSE	ENSG00000111817.16	3.420	8.710	-1.135	3.40e-63
DSG2	ENSG00000046604.12	24.644	7.955	1.518	2.12e-30
DSP	ENSG00000096696.13	50.984	22.750	1.130	6.07e-29
DST	ENSG00000151914.17	34.201	107.083	-1.618	1.90e-70
DTNA	ENSG00000134769.21	7.925	17.145	-1.024	9.46e-32
DTX3	ENSG00000178498.15	26.070	71.781	-1.427	7.66e-67
DTX4	ENSG00000110042.7	2.420	6.015	-1.036	2.39e-44
DUOX1	ENSG00000137857.17	2.355	15.699	-2.315	9.51e-85
DUOX2	ENSG00000140279.12	0.270	2.920	-1.626	3.64e-63
DUOXA1	ENSG00000140254.12	2.040	14.820	-2.380	1.70e-73
DUS3L	ENSG00000141994.15	17.745	37.795	-1.049	2.64e-41
DUSP15	ENSG00000149599.15	1.300	5.405	-1.478	2.00e-75
DUX4L50	ENSG00000232815.1	0.530	2.885	-1.344	3.39e-83
DZIP1	ENSG00000134874.17	2.915	10.680	-1.577	3.03e-87
DZIP1L	ENSG00000158163.14	1.025	4.335	-1.398	2.03e-76
EBF4	ENSG00000088881.20	19.335	56.712	-1.505	9.51e-61
ECHDC2	ENSG00000121310.16	113.775	288.504	-1.335	2.99e-46
ECHS1	ENSG00000127884.4	178.910	81.982	1.116	4.59e-59
ECM1	ENSG00000143369.14	4.740	14.455	-1.429	4.20e-49
EDA2R	ENSG00000131080.14	0.915	3.170	-1.123	1.55e-70
EDN3	ENSG00000124205.15	0.490	3.725	-1.665	1.18e-64
EDNRA	ENSG00000151617.15	7.575	17.705	-1.125	4.39e-32
EDNRB	ENSG00000136160.14	3.290	11.125	-1.499	6.05e-44
EEF1A1P12	ENSG00000214199.3	2.480	0.270	1.454	3.27e-36
EEF1A1P5	ENSG00000196205.8	202.776	90.773	1.151	6.52e-17
EEF1A1P6	ENSG00000233476.3	37.901	12.760	1.499	1.80e-44
EEF1A1P9	ENSG00000249264.1	2.660	0.285	1.510	1.30e-56
EEF2	ENSG00000167658.15	1847.552	759.891	1.281	1.19e-97
EFCAB1	ENSG00000034239.10	1.355	4.815	-1.304	3.82e-44
EFEMP1	ENSG00000115380.18	18.995	51.337	-1.388	5.69e-40
EFEMP2	ENSG00000172638.12	26.070	84.785	-1.664	3.53e-74
EFHC1	ENSG00000096093.14	5.280	12.649	-1.120	1.72e-32
EFHD1	ENSG00000115468.11	6.520	20.985	-1.548	4.42e-54
EFNB1	ENSG00000090776.5	5.950	18.305	-1.474	1.07e-96
EFS	ENSG00000100842.12	7.800	32.465	-1.927	1.21e-67
EGFL7	ENSG00000172889.15	26.385	56.484	-1.070	1.76e-24
EGFL8	ENSG00000241404.6	6.045	28.025	-2.043	2.58e-55
EGFLAM	ENSG00000164318.17	3.980	11.125	-1.284	8.03e-57
EHBP1L1	ENSG00000173442.11	17.019	82.406	-2.211	9.00e-90
EHD2	ENSG00000024422.11	20.336	54.786	-1.387	2.06e-57
EIF1AXP1	ENSG00000236698.1	3.895	1.410	1.022	3.23e-12
EIF2AK1	ENSG00000086232.12	82.796	33.051	1.299	2.16e-80
EIF4BP7	ENSG00000225031.1	5.030	1.115	1.512	7.76e-89
EIF5AP4	ENSG00000234743.1	6.800	0.285	2.602	2.65e-63
ELANE	ENSG00000197561.6	0.210	1.515	-1.056	1.31e-76
ELF4	ENSG00000102034.16	2.030	5.345	-1.066	3.27e-54
ELFN1-AS1	ENSG00000236081.1	1.085	0.000	1.060	3.95e-24
ELL3	ENSG00000128886.11	11.925	4.525	1.226	2.93e-32
ELN	ENSG00000049540.16	26.644	77.208	-1.500	1.07e-31
ELOVL2	ENSG00000197977.3	7.410	1.680	1.650	1.25e-30
ELOVL7	ENSG00000164181.13	23.205	7.470	1.515	5.62e-40
EMB	ENSG00000170571.11	33.975	10.790	1.569	8.89e-56
EME2	ENSG00000197774.12	6.095	18.195	-1.436	4.67e-22
EMILIN1	ENSG00000138080.13	31.330	80.979	-1.342	4.67e-38
EMILIN3	ENSG00000183798.4	1.840	5.254	-1.139	7.26e-56
EML3	ENSG00000149499.11	25.855	65.145	-1.300	1.12e-55
EMP3	ENSG00000142227.10	19.100	54.820	-1.474	4.71e-62
ENDOD1	ENSG00000149218.4	49.935	21.520	1.177	2.61e-30
ENG	ENSG00000106991.13	36.344	78.710	-1.094	3.51e-36
ENGASE	ENSG00000167280.16	9.130	40.562	-2.037	1.32e-55
ENO2	ENSG00000111674.8	7.490	24.960	-1.612	1.72e-86
ENO3	ENSG00000108515.17	4.610	12.480	-1.265	3.81e-19
ENPP5	ENSG00000112796.9	26.710	11.280	1.174	3.57e-22
ENPP7P11	ENSG00000250942.1	0.130	1.590	-1.197	1.77e-89
FGR	ENSG00000000938.12	2.145	6.119	-1.179	1.35e-44
RAD52	ENSG00000002016.16	4.600	11.635	-1.174	6.57e-52
TMEM176A	ENSG00000002933.7	8.540	21.320	-1.226	1.04e-33
TFPI	ENSG00000003436.14	4.235	11.428	-1.247	1.87e-20
RBM5	ENSG00000003756.16	66.121	175.806	-1.397	1.73e-44
PLXND1	ENSG00000004399.12	18.350	46.715	-1.302	2.28e-46
RBM6	ENSG00000004534.14	40.999	147.522	-1.822	4.37e-41
HSPB6	ENSG00000004776.11	50.383	206.958	-2.017	1.09e-52
PDK4	ENSG00000004799.7	13.355	67.339	-2.251	5.18e-44
SPPL2B	ENSG00000005206.16	25.975	57.669	-1.121	2.18e-34
ITGA3	ENSG00000005884.17	18.955	41.734	-1.099	1.03e-52
LAMP2	ENSG00000005893.15	118.853	51.344	1.195	4.17e-27
OSBPL7	ENSG00000006025.11	6.805	17.730	-1.263	1.78e-49
MAP3K14	ENSG00000006062.13	4.410	12.090	-1.275	9.53e-65
TMEM132A	ENSG00000006118.14	22.030	8.350	1.301	2.04e-45
GGCT	ENSG00000006625.17	82.954	35.280	1.210	8.88e-79
GAS7	ENSG00000007237.18	1.885	6.515	-1.381	3.99e-63
MATK	ENSG00000007264.13	4.060	1.200	1.202	2.81e-34
RHBDF1	ENSG00000007384.15	31.990	78.449	-1.268	2.61e-45
LUC7L	ENSG00000007392.16	33.025	113.310	-1.748	1.11e-47
TEAD3	ENSG00000007866.18	22.145	48.125	-1.086	3.24e-76
SPAG9	ENSG00000008294.20	10.465	22.145	-1.013	3.80e-39
ST3GAL1	ENSG00000008513.14	3.200	7.520	-1.020	8.19e-38
PKD1	ENSG00000008710.17	22.745	97.666	-2.055	1.39e-76
REV3L	ENSG00000009413.15	4.855	11.265	-1.067	3.39e-71
MLXIPL	ENSG00000009950.15	0.565	3.260	-1.445	1.56e-66
IFFO1	ENSG00000010295.19	2.730	15.739	-2.166	1.20e-94
GIPR	ENSG00000010310.8	0.480	3.665	-1.656	3.98e-63
NISCH	ENSG00000010322.15	45.749	124.663	-1.427	3.33e-72
STAB1	ENSG00000010327.10	10.995	50.700	-2.108	8.59e-53
FYN	ENSG00000010810.17	7.660	18.930	-1.203	6.71e-48
MRC2	ENSG00000011028.13	15.170	38.738	-1.297	3.30e-53
NME2	ENSG00000011052.21	27.695	7.515	1.753	2.26e-74
SEMA3B	ENSG00000012171.17	7.875	36.275	-2.070	1.53e-95
KDM5D	ENSG00000012817.15	15.115	35.382	-1.175	1.20e-46
MAMLD1	ENSG00000013619.13	1.005	5.055	-1.595	6.85e-110
MTMR11	ENSG00000014914.19	2.075	12.039	-2.084	5.44e-109
ISL1	ENSG00000016082.14	2.585	9.810	-1.592	6.73e-75
IGF1	ENSG00000017427.15	8.655	21.360	-1.212	1.01e-15
SLC38A5	ENSG00000017483.14	2.300	8.295	-1.494	7.55e-68
RUFY3	ENSG00000018189.12	13.425	39.065	-1.474	9.76e-72
PHLDB1	ENSG00000019144.16	20.520	70.874	-1.740	8.75e-80
PRDM11	ENSG00000019485.12	2.830	8.110	-1.250	4.87e-93
SNAI2	ENSG00000019549.8	4.520	18.584	-1.827	1.03e-55
SAMD4A	ENSG00000020577.13	3.555	10.650	-1.355	2.00e-62
SERPINB1	ENSG00000021355.12	8.065	18.730	-1.122	4.13e-34
NRXN3	ENSG00000021645.17	1.720	4.475	-1.009	7.08e-37
FHL1	ENSG00000022267.16	61.864	257.315	-2.039	3.23e-50
PLEKHO1	ENSG00000023902.13	27.751	64.525	-1.188	5.19e-53
VIM	ENSG00000026025.13	226.112	453.858	-1.002	4.66e-31
RTEL1-TNFRSF6B	ENSG00000026036.20	1.500	9.270	-2.038	5.20e-73
MIPEP	ENSG00000027001.9	36.605	13.530	1.372	3.80e-20
HMGB3	ENSG00000029993.14	28.156	10.745	1.312	2.25e-75
VCL	ENSG00000035403.16	32.635	75.905	-1.193	1.63e-35
TIMP2	ENSG00000035862.12	70.756	161.696	-1.181	1.82e-39
USP2	ENSG00000036672.15	0.715	2.440	-1.004	3.09e-53
TUBG2	ENSG00000037042.8	10.100	36.165	-1.743	3.75e-108
FLT4	ENSG00000037280.15	1.520	5.365	-1.337	3.31e-63
PARP3	ENSG00000041880.14	8.280	22.770	-1.357	4.62e-77
FAM65C	ENSG00000042062.11	0.380	5.955	-2.333	5.79e-106
HSPA5	ENSG00000044574.7	249.180	118.188	1.070	2.67e-40
GPM6B	ENSG00000046653.14	4.450	16.389	-1.674	1.61e-80
SCML1	ENSG00000047634.14	3.480	11.540	-1.485	7.32e-60
LMO3	ENSG00000048540.14	1.940	9.155	-1.788	8.88e-64
PRSS8	ENSG00000052344.15	192.284	53.278	1.832	2.44e-72
NNAT	ENSG00000053438.8	0.680	2.880	-1.208	1.85e-34
LAMA3	ENSG00000053747.15	8.055	18.515	-1.108	8.58e-24
KCNH2	ENSG00000055118.14	6.100	16.394	-1.293	7.45e-48
ITIH4	ENSG00000055955.15	2.005	10.595	-1.948	1.67e-45
TRAF1	ENSG00000056558.10	2.140	8.950	-1.664	6.71e-72
SOAT1	ENSG00000057252.12	26.015	10.630	1.216	4.09e-33
PTPRU	ENSG00000060656.19	11.280	23.565	-1.000	2.27e-38
HDAC7	ENSG00000061273.17	23.600	57.669	-1.254	9.90e-74
SLC6A16	ENSG00000063127.15	0.720	3.815	-1.485	9.12e-102
GPC1	ENSG00000063660.8	24.820	56.435	-1.153	1.59e-56
WISP2	ENSG00000064205.10	1.505	11.164	-2.280	3.64e-53
NGFR	ENSG00000064300.8	4.985	14.430	-1.366	1.61e-46
SUGP2	ENSG00000064607.16	34.730	80.641	-1.192	8.02e-35
SLC12A2	ENSG00000064651.13	25.830	11.239	1.132	2.67e-18
PDIA5	ENSG00000065485.17	76.359	25.925	1.523	1.00e-69
MYLK	ENSG00000065534.18	138.586	303.667	-1.126	3.24e-14
SEC61A2	ENSG00000065665.20	3.125	8.985	-1.275	2.23e-67
TLE2	ENSG00000065717.14	18.075	62.074	-1.725	2.93e-95
SLC9A7	ENSG00000065923.9	9.115	3.620	1.131	6.26e-55
PDE4A	ENSG00000065989.15	2.490	8.115	-1.385	1.12e-70
FGFR2	ENSG00000066468.20	7.025	22.805	-1.569	4.42e-37
STAG3	ENSG00000066923.17	1.360	4.300	-1.167	3.21e-39
TRO	ENSG00000067445.20	1.720	17.535	-2.769	3.51e-122
RASGRP2	ENSG00000068831.18	5.080	26.215	-2.162	1.87e-89
PYGM	ENSG00000068976.13	3.840	11.665	-1.388	1.14e-39
PITX1	ENSG00000069011.15	3.715	10.850	-1.330	1.44e-35
GAL	ENSG00000069482.6	3.710	0.760	1.420	9.86e-16
TGFBR3	ENSG00000069702.10	5.095	12.790	-1.178	7.14e-48
NUCB2	ENSG00000070081.15	119.979	53.413	1.153	9.73e-28
FGF10	ENSG00000070193.4	0.770	3.350	-1.297	1.48e-60
FSTL3	ENSG00000070404.9	11.410	46.517	-1.937	2.74e-72
ST6GALNAC1	ENSG00000070526.14	16.855	4.785	1.626	6.36e-30
GBA2	ENSG00000070610.14	43.115	100.495	-1.202	1.14e-67
ST6GALNAC2	ENSG00000070731.9	3.040	12.870	-1.780	9.37e-76
PABPC1	ENSG00000070756.13	1378.562	617.822	1.157	6.36e-76
OSBPL3	ENSG00000070882.12	0.865	2.765	-1.013	9.43e-52
SEL1L	ENSG00000071537.13	34.605	16.090	1.059	1.58e-26
TRIB2	ENSG00000071575.11	13.625	29.544	-1.062	6.01e-31
RDH11	ENSG00000072042.12	747.613	188.674	1.981	7.50e-39
LIMS2	ENSG00000072163.18	29.810	122.551	-2.004	1.47e-71
SPEG	ENSG00000072195.14	11.705	75.068	-2.582	3.05e-97
RHOBTB1	ENSG00000072422.16	2.665	7.560	-1.224	2.23e-35
MRVI1	ENSG00000072952.18	9.315	32.700	-1.708	3.39e-56
TP63	ENSG00000073282.12	4.000	16.130	-1.776	1.77e-30
PDE8A	ENSG00000073417.14	7.075	18.480	-1.270	3.78e-76
GSDMB	ENSG00000073605.18	3.800	16.480	-1.865	1.01e-37
FERMT2	ENSG00000073712.13	17.299	38.325	-1.104	1.10e-50
PTGS2	ENSG00000073756.11	5.650	12.520	-1.024	1.48e-13
GLI2	ENSG00000074047.20	0.645	2.495	-1.087	9.71e-65
SCARF1	ENSG00000074660.15	1.980	5.935	-1.219	4.32e-62
HACD3	ENSG00000074696.12	44.656	21.609	1.014	1.52e-22
ZZEF1	ENSG00000074755.14	6.785	15.795	-1.109	1.97e-46
TUBE1	ENSG00000074935.13	5.120	14.820	-1.370	6.04e-87
WSCD2	ENSG00000075035.9	1.200	3.455	-1.018	3.53e-29
FOSL2	ENSG00000075426.11	18.699	39.774	-1.050	1.75e-30
SEC31B	ENSG00000075826.16	2.775	19.734	-2.457	2.13e-52
RBMS2	ENSG00000076067.11	4.000	9.640	-1.089	1.32e-64
PLXNA2	ENSG00000076356.6	2.260	8.405	-1.529	8.91e-95
TPD52	ENSG00000076554.15	206.843	58.237	1.811	2.72e-61
ICAM3	ENSG00000076662.9	24.815	10.735	1.137	1.18e-95
MCAM	ENSG00000076706.14	24.870	71.275	-1.482	2.33e-50
RAP1GAP	ENSG00000076864.19	49.019	16.455	1.519	1.81e-66
TM9SF3	ENSG00000077147.14	96.505	43.664	1.126	3.11e-36
PPP1R12B	ENSG00000077157.20	25.050	57.420	-1.165	9.72e-36
IL4R	ENSG00000077238.13	15.374	35.510	-1.157	4.45e-59
NAALAD2	ENSG00000077616.10	0.420	1.890	-1.025	6.12e-60
FGFR1	ENSG00000077782.19	21.680	75.120	-1.747	1.03e-71
FBLN1	ENSG00000077942.17	102.433	338.895	-1.716	1.83e-43
ITGA8	ENSG00000077943.7	4.785	10.850	-1.035	3.33e-19
THOC1	ENSG00000079134.11	15.940	39.595	-1.261	1.42e-43
MKNK1	ENSG00000079277.19	12.365	33.350	-1.362	5.02e-76
TNS1	ENSG00000079308.16	35.250	114.821	-1.676	1.36e-50
RAPGEF3	ENSG00000079337.15	7.655	29.155	-1.801	4.46e-65
LIPE	ENSG00000079435.9	2.420	6.980	-1.222	4.15e-78
PAFAH1B3	ENSG00000079462.7	44.634	17.840	1.276	2.55e-70
EPB41L2	ENSG00000079819.16	7.250	26.219	-1.722	1.07e-62
SLC4A4	ENSG00000080493.13	45.841	8.665	2.277	3.03e-37
KCNN2	ENSG00000080709.14	20.340	6.550	1.499	5.14e-32
IGSF9B	ENSG00000080854.14	1.430	4.759	-1.245	1.37e-64
SMARCD3	ENSG00000082014.16	15.210	71.046	-2.152	2.61e-104
PGR	ENSG00000082175.14	0.570	2.395	-1.113	3.00e-71
EPB41L3	ENSG00000082397.15	4.260	11.235	-1.218	7.39e-47
TRAF5	ENSG00000082512.14	2.930	15.001	-2.026	4.49e-93
ZMPSTE24	ENSG00000084073.8	42.310	19.110	1.107	6.66e-40
GSTP1	ENSG00000084207.15	91.122	313.071	-1.769	1.80e-62
NKAIN1	ENSG00000084628.9	7.155	0.710	2.254	8.37e-34
MECOM	ENSG00000085276.17	2.565	6.389	-1.052	6.06e-42
MGST2	ENSG00000085871.8	150.122	70.282	1.084	3.07e-70
MAST2	ENSG00000086015.20	17.835	36.736	-1.003	2.34e-24
FOLH1	ENSG00000086205.16	307.107	65.247	2.218	1.24e-51
FAT2	ENSG00000086570.12	0.580	3.160	-1.397	2.30e-47
TMED2	ENSG00000086598.10	202.825	80.694	1.319	9.96e-47
TRIP6	ENSG00000087077.11	22.545	61.496	-1.408	1.68e-68
MMP2	ENSG00000087245.12	35.414	84.348	-1.229	6.94e-37
GNAO1	ENSG00000087258.13	1.900	7.255	-1.509	4.24e-69
NID2	ENSG00000087303.16	2.935	13.545	-1.886	9.01e-82
REM1	ENSG00000088320.3	0.945	3.595	-1.240	2.41e-64
TPX2	ENSG00000088325.15	2.270	0.500	1.124	2.73e-40
FER1L4	ENSG00000088340.15	0.590	7.150	-2.358	1.96e-80
TMEM40	ENSG00000088726.15	0.945	3.080	-1.069	4.03e-35
SLC4A11	ENSG00000088836.12	1.430	5.290	-1.372	3.08e-63
ERP29	ENSG00000089248.6	216.954	100.911	1.097	1.84e-64
LTBP4	ENSG00000090006.17	100.193	278.831	-1.467	1.40e-48
PCBP4	ENSG00000090097.20	26.535	54.974	-1.023	7.74e-55
IRAK3	ENSG00000090376.8	0.810	4.160	-1.511	5.95e-102
LYZ	ENSG00000090382.6	32.539	12.860	1.275	6.12e-13
FLT3LG	ENSG00000090554.12	6.680	17.400	-1.261	1.84e-61
TNRC6A	ENSG00000090905.17	8.840	24.890	-1.396	4.12e-59
PLEKHG2	ENSG00000090924.14	5.100	19.175	-1.726	2.16e-67
PITPNM2	ENSG00000090975.12	1.460	5.445	-1.390	1.51e-96
LAMB1	ENSG00000091136.13	16.365	36.715	-1.119	1.12e-37
SEL1L3	ENSG00000091490.10	30.300	11.168	1.363	5.31e-50
TF	ENSG00000091513.14	2.475	6.590	-1.127	6.41e-17
MYO15A	ENSG00000091536.16	0.445	2.265	-1.176	1.39e-102
NLRP1	ENSG00000091592.15	7.370	27.260	-1.755	9.76e-72
JPH4	ENSG00000092051.16	2.655	13.420	-1.980	2.41e-65
SLC22A17	ENSG00000092096.14	25.065	68.843	-1.422	4.04e-63
TGM1	ENSG00000092295.11	1.105	3.990	-1.245	7.82e-50
UNC13D	ENSG00000092929.11	2.115	7.365	-1.425	1.59e-58
XXbac-B461K10.4	ENSG00000093100.13	4.935	17.299	-1.624	7.73e-65
HDAC6	ENSG00000094631.18	26.280	62.324	-1.215	1.46e-61
FMO2	ENSG00000094963.13	1.230	3.605	-1.046	5.83e-30
EPB41L4B	ENSG00000095203.14	17.620	6.155	1.380	4.86e-53
TDRD1	ENSG00000095627.9	1.715	0.045	1.377	7.22e-33
SORBS1	ENSG00000095637.20	21.770	74.814	-1.735	8.77e-46
SCD	ENSG00000099194.5	76.269	24.055	1.625	8.90e-24
HSD17B7P2	ENSG00000099251.14	2.065	6.714	-1.332	2.22e-57
PRTFDC1	ENSG00000099256.18	1.945	5.760	-1.199	1.14e-70
MZF1	ENSG00000099326.8	13.875	33.831	-1.227	1.20e-39
MYO9B	ENSG00000099331.13	26.130	59.325	-1.153	1.39e-61
PRKY	ENSG00000099725.14	1.060	4.945	-1.529	3.04e-75
LZTR1	ENSG00000099949.18	23.140	54.537	-1.202	6.89e-47
SEC14L2	ENSG00000100003.17	58.385	28.388	1.015	1.30e-13
GGT1	ENSG00000100031.18	145.602	53.521	1.427	5.22e-21
PRODH	ENSG00000100033.16	0.735	4.745	-1.727	3.54e-86
TOP3B	ENSG00000100038.19	6.835	18.939	-1.348	2.84e-55
LRP5L	ENSG00000100068.11	2.755	11.355	-1.718	1.02e-68
SH3BP1	ENSG00000100092.20	3.635	9.180	-1.135	3.49e-52
LGALS1	ENSG00000100097.11	287.595	724.302	-1.330	1.21e-49
SOX10	ENSG00000100146.16	0.280	2.800	-1.570	1.41e-71
TTC28	ENSG00000100154.14	2.405	6.120	-1.064	1.47e-51
SEP3	ENSG00000100167.19	2.240	0.610	1.009	5.84e-35
TPTEP1	ENSG00000100181.21	3.790	15.570	-1.790	3.78e-32
KDELR3	ENSG00000100196.10	20.980	9.445	1.073	2.38e-19
TIMP3	ENSG00000100234.11	61.840	152.582	-1.289	3.97e-48
SBF1	ENSG00000100241.20	21.080	44.618	-1.047	3.77e-44
RASD2	ENSG00000100302.6	6.190	14.954	-1.150	2.74e-49
SYNGR1	ENSG00000100321.14	14.235	30.940	-1.068	1.13e-47
FOXRED2	ENSG00000100350.14	13.975	4.780	1.373	5.21e-59
KCTD17	ENSG00000100379.17	5.110	13.890	-1.285	1.87e-68
TRMU	ENSG00000100416.12	16.770	38.454	-1.151	3.58e-36
HDAC10	ENSG00000100429.17	20.290	50.009	-1.261	1.20e-29
GNPNAT1	ENSG00000100522.8	25.259	9.900	1.269	3.85e-47
GSTZ1	ENSG00000100577.18	69.199	29.785	1.189	2.22e-67
RIN3	ENSG00000100599.15	4.600	10.390	-1.024	2.99e-52
PAPLN	ENSG00000100767.15	3.360	12.370	-1.617	1.30e-64
REC8	ENSG00000100918.12	5.035	21.485	-1.898	3.82e-71
PNN	ENSG00000100941.8	30.205	74.263	-1.270	3.60e-40
NFATC4	ENSG00000100968.13	10.480	70.443	-2.638	4.79e-99
MMP9	ENSG00000100985.7	4.530	0.490	1.892	7.01e-38
NINL	ENSG00000101004.14	4.050	15.470	-1.705	1.11e-65
SGK2	ENSG00000101049.14	0.380	2.105	-1.170	4.63e-32
MYBL2	ENSG00000101057.15	1.860	0.370	1.062	1.14e-35
PABPC1L	ENSG00000101104.12	7.960	39.424	-2.174	3.20e-28
SALL4	ENSG00000101115.12	0.430	1.900	-1.020	6.74e-41
SLCO4A1	ENSG00000101187.15	1.245	5.070	-1.435	6.41e-58
SLC17A9	ENSG00000101194.17	0.520	4.915	-1.960	5.37e-84
TRIB3	ENSG00000101255.10	18.186	7.885	1.111	8.90e-63
SNPH	ENSG00000101298.13	2.090	5.690	-1.114	5.67e-54
SEC23B	ENSG00000101310.14	73.124	30.990	1.212	3.72e-44
MYL9	ENSG00000101335.9	632.709	1787.713	-1.497	6.44e-36
TLDC2	ENSG00000101342.9	0.400	2.220	-1.202	8.74e-84
WFDC2	ENSG00000101443.17	59.736	225.018	-1.896	2.60e-38
TNNC2	ENSG00000101470.9	0.835	3.265	-1.217	1.04e-22
ZNF516	ENSG00000101493.10	3.335	12.485	-1.637	6.10e-90
PAGE4	ENSG00000101951.16	28.559	91.056	-1.639	2.13e-26
SRPX	ENSG00000101955.14	4.610	13.895	-1.409	1.72e-53
PLP2	ENSG00000102007.10	39.705	93.208	-1.211	7.85e-62
TAZ	ENSG00000102125.15	13.665	48.172	-1.745	1.42e-61
SMS	ENSG00000102172.15	214.160	72.786	1.544	7.04e-44
GABRE	ENSG00000102287.16	2.500	48.921	-3.834	5.31e-86
KLF8	ENSG00000102349.14	0.950	4.990	-1.619	1.81e-117
SRPX2	ENSG00000102359.5	1.470	4.340	-1.112	3.81e-36
SYTL4	ENSG00000102362.15	9.955	24.700	-1.230	2.88e-66
HSF4	ENSG00000102878.15	48.605	106.274	-1.113	9.48e-8
GDPD3	ENSG00000102886.14	1.525	6.269	-1.525	7.41e-64
TSNAXIP1	ENSG00000102904.14	0.720	2.690	-1.101	2.60e-67
PLLP	ENSG00000102934.9	3.870	10.524	-1.243	3.79e-59
ZNF423	ENSG00000102935.11	2.120	5.560	-1.072	1.22e-48
NDRG4	ENSG00000103034.14	1.765	5.230	-1.172	9.67e-55
SLC7A6	ENSG00000103064.13	2.660	10.650	-1.670	1.11e-72
WDR59	ENSG00000103091.14	18.360	38.980	-1.046	6.41e-51
TAF1C	ENSG00000103168.16	12.620	61.154	-2.190	5.06e-83
WFDC1	ENSG00000103175.10	21.225	58.759	-1.427	1.37e-37
FOXF1	ENSG00000103241.6	4.875	19.785	-1.823	3.57e-62
GGA2	ENSG00000103365.15	26.670	56.881	-1.065	9.72e-56
TOX3	ENSG00000103460.16	3.505	1.200	1.034	5.71e-28
RRN3P2	ENSG00000103472.9	0.420	3.155	-1.549	1.41e-113
QPRT	ENSG00000103485.17	2.270	6.604	-1.218	3.44e-55
MAZ	ENSG00000103495.13	341.170	132.816	1.354	2.73e-96
TMC5	ENSG00000103534.16	42.645	18.000	1.200	1.50e-34
RASL12	ENSG00000103710.10	11.690	39.445	-1.672	5.52e-61
RAB11A	ENSG00000103769.9	223.936	100.478	1.148	2.16e-46
TMEM87A	ENSG00000103978.15	105.931	46.641	1.166	2.54e-37
SLC30A4	ENSG00000104154.6	49.905	22.178	1.135	4.08e-24
EYA1	ENSG00000104313.17	2.010	6.090	-1.236	9.95e-40
IKBKB	ENSG00000104365.13	21.420	53.445	-1.280	5.36e-47
WISP1	ENSG00000104415.13	0.670	2.345	-1.002	3.58e-54
GSDMD	ENSG00000104518.10	33.035	74.684	-1.153	9.89e-31
TUSC3	ENSG00000104723.20	91.909	36.344	1.315	1.89e-41
SNRNP70	ENSG00000104852.14	146.829	361.962	-1.296	1.29e-32
SYDE1	ENSG00000105137.12	4.265	14.994	-1.603	3.60e-80
NUMBL	ENSG00000105245.9	8.840	32.981	-1.788	1.54e-82
TYK2	ENSG00000105397.13	50.110	111.106	-1.133	1.16e-29
RAB3D	ENSG00000105514.7	38.949	13.775	1.435	1.75e-66
RASIP1	ENSG00000105538.8	3.740	9.260	-1.114	1.93e-49
PDE4C	ENSG00000105650.21	0.290	1.875	-1.156	4.37e-85
ISYNA1	ENSG00000105655.18	20.429	67.179	-1.670	3.39e-73
LSR	ENSG00000105699.16	92.831	36.765	1.313	7.91e-78
HPN	ENSG00000105707.13	191.008	19.540	3.225	2.77e-124
PBX4	ENSG00000105717.13	1.060	3.310	-1.065	8.74e-46
GRIK5	ENSG00000105737.9	2.005	7.120	-1.434	2.33e-85
RASA4	ENSG00000105808.17	11.855	28.774	-1.212	6.96e-60
PON3	ENSG00000105852.10	0.160	1.565	-1.145	1.51e-86
WDR91	ENSG00000105875.13	5.715	13.970	-1.157	7.20e-74
PTN	ENSG00000105894.11	32.511	66.438	-1.009	2.11e-11
WNT2	ENSG00000105989.8	1.060	3.744	-1.203	6.52e-22
HOXA2	ENSG00000105996.6	0.275	1.595	-1.025	1.51e-93
LFNG	ENSG00000106003.12	41.025	18.660	1.096	1.73e-34
VIPR2	ENSG00000106018.13	2.040	7.140	-1.421	8.87e-48
STX1A	ENSG00000106089.11	3.035	8.320	-1.208	5.80e-62
NOD1	ENSG00000106100.10	1.950	5.230	-1.078	6.16e-64
NSUN5P2	ENSG00000106133.17	17.585	39.364	-1.119	1.23e-16
NPTX2	ENSG00000106236.3	1.200	3.650	-1.080	1.83e-41
PTPRZ1	ENSG00000106278.11	0.385	1.930	-1.081	5.16e-30
PCOLCE	ENSG00000106333.12	34.415	76.914	-1.138	3.47e-34
TSPAN13	ENSG00000106537.7	105.997	23.373	2.134	6.75e-89
RARRES2	ENSG00000106538.9	59.010	190.645	-1.675	2.40e-52
OGN	ENSG00000106809.10	9.325	21.780	-1.142	3.63e-22
